Player,Runs,Strike Rate,100s,50s,4s,6s
JA Morkel (CSK/DC/RCB/RPS),974,141.98,NaN,3,61,55
CL White (DC/RCB/SRH),954,126.35,NaN,6,76,36
S Dube (CSK/RCB/RR),952,139.38,NaN,6,57,59
V Shankar (CSK/DC/GT/SRH),936,128.57,NaN,5,60,40
BA Stokes (CSK/RPS/RR),935,133.95,2,2,81,32
HH Gibbs (DC/MI),886,109.78,NaN,6,83,31
STR Binny (MI/RCB/RR),880,128.84,NaN,NaN,66,35
VR Iyer (KKR),848,129.26,1,6,78,37
Harbhajan Singh (CSK/KKR/MI),833,137.91,NaN,1,79,42
Abhishek Sharma (DC/SRH),806,138.48,NaN,3,82,29
